c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0.904163908,-0.062464912,-0.602590763,0.820311866,0.698676755,0.804447591,0.886782859,-0.074845464,-0.20459465,0.220042656,-0.632206539,-0.951461542,-0.573578379,-0.727476814,0.761083364,0.730764469,0.774325142,0.068333439,-0.115820357,-0.359594463,0.498249274,0.840293053,0.578457897,0.436179501,-0.2319118
0.197179448,-0.353247257,-0.345294112,0.041836635,-0.30625103,0.641514006,-0.391475496,0.368288849,-0.187207118,0.593234171,0.755260719,0.476810536,0.790418459,0.00967714,0.28586187,0.721015815,-0.186858805,0.516015972,-0.636443697,-0.549654155,0.147233318,-0.359033755,0.735331473,0.523361634,0.972272186
0.249111461,-0.153594632,-0.983636157,0.649073749,0.830244113,0.323535567,0.011668157,-0.049078018,-0.818748054,0.909769271,-0.46628743,-0.644507501,0.60213364,-0.308587672,-0.2152804,-0.389216707,-0.356670361,-0.149545026,-0.384057064,-0.057172659,-0.967103512,0.418821973,-0.08311193,0.384770135,-0.241021531
0.217829918,-0.182586272,0.429454218,0.170569519,-0.097838119,-0.462761473,-0.07443666,-0.700868995,0.123733697,-0.045362743,-0.120441065,0.395842404,-0.521153571,0.308549046,0.404733643,-0.876869229,0.783939247,-0.684836191,0.764633454,0.95188773,-0.327775009,-0.804599976,-0.53535446,0.935295211,0.146019629
0.87471037,-0.942374476,-0.362950752,-0.802739194,-0.837689063,0.11107067,0.733780117,-0.822229129,-0.939188032,-0.521447307,0.150952277,0.272858378,0.468413297,-0.927263955,-0.581413031,0.222658494,-0.199739619,0.993327638,0.690674417,-0.998437698,-0.141997388,0.864771037,0.293413858,-0.90182821,0.137957207
0.206307121,0.390531836,0.292269626,-0.864280569,-0.586731808,-0.928514454,0.826146525,-0.105281728,-0.150042871,0.84712114,0.247395937,-0.047949993,-0.470716985,0.299391693,-0.551013582,0.257468478,0.101953904,0.901104894,-0.175554443,-0.749380784,-0.906763294,0.421485401,-0.530118326,0.180622003,0.114416242
-0.630564585,0.811791724,-0.579150044,0.250854763,-0.271410978,0.060968453,0.634429688,0.535748625,-0.820470819,0.789207671,0.762242181,0.665272583,0.637860348,0.969075959,-0.169559652,0.466239745,0.334634836,0.409882801,-0.770491807,-0.459228934,0.889113873,-0.161704804,0.463268646,0.195093925,-0.070350906
0.202893812,0.704920561,0.996070759,-0.690949407,0.188032327,-0.221827217,-0.66201686,-0.063892317,-0.976665239,0.923356389,0.409684396,0.496596297,0.618965836,0.196556003,0.360678287,-0.557418795,0.552003422,-0.844140143,0.501484772,0.189386056,-0.053682532,0.291050027,0.695846639,0.599380463,-0.721625258
0.965880196,-0.723297267,0.325679917,0.145179437,-0.361484838,0.493638999,-0.085648502,-0.220616241,0.85261752,-0.876339348,0.720012613,0.861051429,0.213672935,-0.388358187,0.678865679,-0.078987298,-0.418503099,-0.984595663,-0.378124024,0.904649917,0.430817599,0.86320242,0.31668869,-0.882632746,0.999286766
0.092713532,-0.34433388,0.976619621,-0.120669128,-0.533069658,0.616840599,-0.904328499,0.302092277,0.189517944,0.153708854,0.729452787,0.262203775,0.669816799,-0.365591121,-0.966040619,0.087282082,0.065371855,-0.679173806,-0.569460817,-0.55489972,0.828848137,-0.185253233,0.721411043,-0.806960278,0.925066594
-0.987112558,-0.939606118,0.097004117,-0.647887781,0.354319624,0.312036424,-0.689089771,0.50102146,0.256201602,-0.894055604,0.100919139,0.387371874,0.473707753,0.266249126,0.838054483,0.977346998,-0.008124493,0.432530751,-0.051108569,0.795246178,0.24943596,-0.085061982,0.033836004,-0.306561017,0.906672799
0.007139032,-0.035279543,0.45254055,-0.51033515,0.51037979,-0.515453915,0.658772343,0.589641334,0.618241882,-0.514551059,0.696647532,0.394495355,0.488032453,0.721596112,-0.817625942,0.000843937,-0.638698037,-0.537003545,0.159625404,-0.429615313,0.004885879,0.150098203,0.699585548,-0.810562111,0.6438096
0.78037693,-0.802981843,0.764670631,0.812234919,-0.095917552,0.489399938,-0.539047774,-0.968411698,-0.862818214,0.574633495,0.130311938,0.948333718,-0.998602672,-0.042447999,0.662906427,-0.686886567,0.015248111,0.514003274,0.655443163,0.859898305,-0.87183225,0.083687368,-0.592057832,-0.765486325,-0.168523904
0.227141835,-0.032934977,-0.103414678,-0.190673143,0.547537973,-0.343863599,-0.476595401,0.023282625,0.941540658,-0.885093667,-0.733715481,-0.324617335,-0.166691424,0.332924775,-0.725225264,-0.672295763,-0.62577492,0.882099042,-0.363466258,0.110770559,-0.873002952,-0.115819004,-0.906200233,-0.413660321,0.032550538
0.39273299,0.035393062,-0.719741916,-0.211880586,0.280366742,0.771102812,0.416280834,-0.787687326,0.274329025,-0.997428338,-0.013830676,-0.306310704,0.804119193,-0.304606093,-0.752570596,-0.53065305,0.888047901,0.675392387,0.360092108,0.032671242,0.029458757,0.664438628,-0.028719295,-0.240046567,-0.237192758
0.668629551,0.999858196,-0.541054584,-0.381613894,-0.489087251,-0.563604145,0.593513199,-0.091833754,-0.513404331,0.900130547,-0.883241129,-0.602274955,0.699467047,-0.598653339,0.758115603,0.544170589,-0.901951418,-0.466940741,0.517814551,0.038341058,-0.11929402,-0.912206077,-0.144267514,-0.2815141,-0.514494432
0.428530368,0.87951212,-0.740715862,-0.304213399,0.752912116,-0.588505057,0.376527463,-0.954307417,-0.61438213,0.004482378,-0.354849816,-0.355380192,-0.42754648,0.282016141,-0.948821827,-0.928868562,0.707053208,-0.129309916,-0.641647337,-0.267042769,-0.744225152,0.591923756,0.157914176,-0.718134793,0.935954433
-0.985498255,0.457225345,-0.747039941,0.74327862,0.625262132,0.091281403,-0.398180791,0.455066322,0.887282436,-0.627643457,0.299248455,0.429498199,-0.368682896,-0.083388651,0.642052097,-0.662450535,0.183722881,-0.643621049,-0.875485274,-0.904676389,0.36649577,-0.101125102,0.909512407,-0.199639047,-0.981262989
-0.415964867,-0.007428835,0.18980565,0.33597282,-0.420500269,0.293026809,-0.647199379,0.784342156,-0.320526081,0.020024872,0.591575468,-0.361009421,-0.698940443,-0.272906026,0.108740793,0.239683809,-0.357974814,-0.265556266,0.953008058,-0.069660224,-0.20933851,-0.156387165,-0.404326039,0.138357859,-0.534835748
